"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"152","Prionace glauca","Prionace","glauca","Y",NA,NA,"itis","Carcharhinidae"
"153","Micromesistius poutassou","Micromesistius","poutassou","Y",NA,NA,"itis","Gadidae"
"154","Galeus melastomus","Galeus","melastomus","Y",NA,NA,"itis","Scyliorhinidae"
"155","Lepidorhombus boscii","Lepidorhombus","boscii","Y",NA,NA,"itis","Scophthalmidae"
"156","Euthynnus alletteratus","Euthynnus","alletteratus","Y",NA,NA,"itis","Scombridae"
"157","Setipinna taty","Setipinna","taty","Y",NA,NA,"itis","Engraulidae"
"158","Sillaginodes punctatus","Sillaginodes","punctatus","Y",NA,NA,"itis","Sillaginidae"
"159","Mustelus antarcticus","Mustelus","antarcticus","Y",NA,NA,"itis","Triakidae"
"160","Sebastes norvegicus","Sebastes","norvegicus","Y",NA,NA,"itis","Scorpaenidae"
"161","Anarhichas lupus","Anarhichas","lupus","Y",NA,NA,"itis","Anarhichadidae"
"162","Scomber japonicus","Scomber","japonicus","Y","Y",NA,"itis","Scombridae"
"163","Scophthalmus maximus","Scophthalmus","maximus","Y",NA,NA,"itis","Scophthalmidae"
"164","Sarda sarda","Sarda","sarda","Y",NA,NA,"itis","Scombridae"
"165","Eleotris fusca","Eleotris","fusca","Y",NA,NA,"itis","Eleotridae"
"166","Seriolina nigrofasciata","Seriolina","nigrofasciata","Y",NA,NA,"itis","Carangidae"
"167","Rastrelliger brachysoma","Rastrelliger","brachysoma","Y",NA,NA,"itis","Scombridae"
"168","Macrourus berglax","Macrourus","berglax","Y",NA,NA,"itis","Macrouridae"
"169","Mora moro","Mora","moro","Y",NA,NA,"itis","Moridae"
"170","Centroscymnus coelolepis","Centroscymnus","coelolepis","Y",NA,NA,"itis","Somniosidae"
"171","Centroscyllium fabricii","Centroscyllium","fabricii","Y",NA,NA,"itis","Etmopteridae"
"172","Centrophorus squamosus","Centrophorus","squamosus","Y",NA,NA,"itis","Centrophoridae"
"173","Etmopterus princeps","Etmopterus","princeps","Y",NA,NA,"itis","Etmopteridae"
"174","Patagonotothen ramsayi","Patagonotothen","ramsayi","Y",NA,NA,"itis","Nototheniidae"
"175","Parupeneus trifasciatus","Parupeneus","trifasciatus","Y",NA,NA,"itis","Mullidae"
"176","Chelinus undulates","Chelinus","undulates","Y",NA,NA,"itis","Dytiscidae"
"177","Lutjanus bohar","Lutjanus","bohar","Y",NA,NA,"itis","Lutjanidae"
"178","Hyporhamphus dussumieri","Hyporhamphus","dussumieri","Y","Y",NA,"itis","Hemiramphidae"
"179","Balistes capriscus","Balistes","capriscus","Y",NA,NA,"itis","Balistidae"
"180","Pseudopercis semifasciata","Pseudopercis","semifasciata","Y",NA,NA,"itis","Pinguipedidae"
"181","Seriolella punctata","Seriolella","punctata","Y",NA,NA,"itis","Centrolophidae"
"182","Stromateus brasiliensis","Stromateus","brasiliensis","Y",NA,NA,"itis","Stromateidae"
"183","Reinhardtius hippoglossoides","Reinhardtius","hippoglossoides","Y",NA,NA,"itis","Pleuronectidae"
"184","Trematomus scotti","Trematomus","scotti","Y",NA,NA,"itis","Nototheniidae"
"185","Electrona antarctica","Electrona","antarctica","Y",NA,NA,"itis","Myctophidae"
"186","Electrona carlsbergi","Electrona","carlsbergi","Y",NA,NA,"itis","Myctophidae"
"187","Gymnoscopelus braueri","Gymnoscopelus","braueri","Y",NA,NA,"itis","Myctophidae"
"188","Gymnoscopelus nicholsi","Gymnoscopelus","nicholsi","Y",NA,NA,"itis","Myctophidae"
"189","Sardinops sagax","Sardinops","sagax","Y","Y",NA,"itis","Clupeidae"
"190","Pagrus pagrus","Pagrus","pagrus","Y",NA,NA,"itis","Sparidae"
"191","Trachurus lathami","Trachurus","lathami","Y",NA,NA,"itis","Carangidae"
"192","Galeichthys feliceps","Galeichthys","feliceps","Y",NA,NA,"itis","Ariidae"
"193","Micromesistius australis","Micromesistius","australis","Y",NA,NA,"itis","Gadidae"
"194","Discopyge tschudii","Discopyge","tschudii","Y",NA,NA,"itis","Narcinidae"
"195","Zearaja chilensis","Zearaja","chilensis","Y",NA,NA,"itis",NA
"196","Psammobatis scobina","Psammobatis","scobina","Y",NA,NA,"itis","Arhynchobatidae"
"197","Psammobatis normani","Psammobatis","normani","Y",NA,NA,"itis","Arhynchobatidae"
"198","Bathyraja brachyurops","Bathyraja","brachyurops","Y",NA,NA,"itis","Arhynchobatidae"
"199","Bathyraja macloviana","Bathyraja","macloviana","Y",NA,NA,"itis","Arhynchobatidae"
"200","Bathyraja scaphiops","Bathyraja","scaphiops","Y",NA,NA,"itis","Arhynchobatidae"
"201","Callorhinchus callorynchus","Callorhinchus","callorynchus","Y",NA,NA,"itis","Callorhinchidae"
"202","Bassanago albescens","Bassanago","albescens","Y",NA,NA,"itis","Congridae"
"203","Salilota australis","Salilota","australis","Y",NA,NA,"itis","Moridae"
"204","Notophycis marginata","Notophycis","marginata","Y",NA,NA,"itis","Moridae"
"205","Macruronus magellanicus","Macruronus","magellanicus","Y",NA,NA,"itis","Merlucciidae"
"206","Merluccius australis","Merluccius","australis","Y",NA,NA,"itis","Merlucciidae"
"207","Merluccius hubbsi","Merluccius","hubbsi","Y",NA,NA,"itis","Merlucciidae"
"208","Coelorinchus fasciatus","Coelorinchus","fasciatus","Y",NA,NA,"itis",NA
"209","Genypterus blacodes","Genypterus","blacodes","Y",NA,NA,"itis","Ophidiidae"
"210","Sebastes oculatus","Sebastes","oculatus","Y",NA,NA,"itis","Scorpaenidae"
"211","Prionotus nudigula","Prionotus","nudigula","Y",NA,NA,"itis","Triglidae"
"212","Congiopodus peruvianus","Congiopodus","peruvianus","Y",NA,NA,"itis","Congiopodidae"
"213","Acanthistius brasilianus","Acanthistius","brasilianus","Y",NA,NA,"itis","Serranidae"
"214","Brama brama","Brama","brama","Y",NA,NA,"itis",NA
"215","Epinephelus fasciatus","Epinephelus","fasciatus","Y",NA,NA,"itis","Serranidae"
"216","Epinephelus longispinis","Epinephelus","longispinis","Y",NA,NA,"itis","Serranidae"
"217","Lepidorhombus whiffiagonis","Lepidorhombus","whiffiagonis","Y",NA,NA,"itis","Scophthalmidae"
"218","Sprattus sprattus","Sprattus","sprattus","Y",NA,NA,"itis","Clupeidae"
"219","Ponticola ratan","Ponticola","ratan","Y",NA,NA,"itis",NA
"220","Polyprion americanus","Polyprion","americanus","Y",NA,NA,"itis","Polyprionidae"
